EAR,MAR,Label
0.1293,0.1316,0
0.2563,0.1228,0
0.2814,0.1231,0
0.1857,0.1244,0
0.2853,0.1227,0
0.2699,0.1261,0
0.2771,0.1218,0
0.2632,0.1216,0
0.2801,0.1255,0
0.2857,0.1249,0
0.2685,0.125,0
0.2909,0.1253,0
0.2976,0.1273,0
0.2748,0.1248,0
0.2975,0.1258,0
0.3037,0.1255,0
0.2895,0.1255,0
0.3074,0.1254,0
0.2874,0.1255,0
0.2871,0.1252,0
0.2833,0.1237,0
0.3029,0.1235,0
0.3012,0.1242,0
0.3043,0.1243,0
0.2662,0.1221,0
0.2463,0.1205,0
0.2823,0.1249,0
0.3189,0.1252,0
0.3086,0.1236,0
0.3042,0.1242,0
0.2981,0.1237,0
0.2598,0.136,0
0.1182,0.1341,0
0.2392,0.1276,0
0.2537,0.1263,0
0.2255,0.1251,0
0.2688,0.1249,0
0.2608,0.1259,0
0.2772,0.1227,0
0.2907,0.1256,0
0.274,0.1229,0
0.2987,0.1229,0
0.3121,0.1234,0
0.2919,0.1222,0
0.3038,0.1227,0
0.3065,0.1218,0
0.2982,0.1212,0
0.3039,0.1218,0
0.3186,0.1238,0
0.3035,0.1221,0
0.2965,0.1218,0
0.2992,0.1233,0
0.3079,0.1228,0
0.2964,0.1231,0
0.2952,0.1233,0
0.2988,0.1232,0
0.3139,0.1221,0
0.3208,0.1235,0
0.2064,0.1231,0
0.3051,0.1224,0
0.2853,0.122,0
0.3109,0.1222,0
0.3157,0.1228,0
0.322,0.1238,0
0.3166,0.1226,0
0.3158,0.1217,0
0.3023,0.122,0
0.2919,0.1216,0
0.2945,0.1235,0
0.327,0.1219,0
0.2851,0.1217,0
0.3318,0.1217,0
0.3312,0.1222,0
0.3258,0.1227,0
0.2485,0.1229,0
0.3239,0.122,0
0.3204,0.1225,0
0.2696,0.1227,0
0.3063,0.1237,0
0.3165,0.1236,0
0.3119,0.1239,0
0.3004,0.123,0
0.3196,0.1239,0
0.2561,0.1223,0
0.2909,0.1223,0
0.2996,0.1222,0
0.2887,0.121,0
0.2966,0.1209,0
0.3084,0.1197,0
0.2836,0.1214,0
0.1872,0.1211,0
0.3033,0.1209,0
0.2919,0.1196,0
0.3044,0.1217,0
0.2942,0.1233,0
0.2181,0.1211,0
0.2995,0.1199,0
0.303,0.1212,0
0.292,0.121,0
0.3123,0.1205,0
0.3146,0.1215,0
0.2874,0.1216,0
0.2976,0.1205,0
0.3097,0.1191,0
0.3068,0.1217,0
0.3098,0.1207,0
0.3013,0.1215,0
0.2789,0.1213,0
0.2964,0.1207,0
0.3025,0.1202,0
0.2946,0.1194,0
0.1714,0.1201,0
0.2865,0.1242,0
0.2717,0.1216,0
0.3048,0.121,0
0.2973,0.123,0
0.3239,0.1254,0
0.3131,0.1218,0
0.321,0.122,0
0.3123,0.1235,0
0.2614,0.1213,0
0.2987,0.1217,0
0.3136,0.1209,0
0.3104,0.1216,0
0.2949,0.1202,0
0.2978,0.1212,0
0.2249,0.1239,0
0.2294,0.1269,0
0.2284,0.1271,0
0.2235,0.128,0
0.2233,0.1289,0
0.2293,0.1294,0
0.2229,0.1281,0
0.2257,0.1278,0
0.2216,0.1276,0
0.1972,0.1283,0
0.2425,0.1272,0
0.2498,0.1272,0
0.2524,0.1283,0
0.2507,0.1276,0
0.2334,0.1257,0
0.2596,0.1233,0
0.2947,0.1217,0
0.0826,0.1213,0
0.2972,0.1192,0
0.259,0.1235,0
0.3139,0.1187,0
0.2852,0.1221,0
0.2751,0.1218,0
0.2963,0.1205,0
0.3146,0.121,0
0.3125,0.1209,0
0.3065,0.1227,0
0.223,0.1219,0
0.2393,0.1201,0
0.2988,0.1217,0
0.3017,0.1214,0
0.2995,0.1201,0
0.3009,0.1215,0
0.2817,0.1231,0
0.3034,0.121,0
0.3075,0.1212,0
0.3098,0.1209,0
0.2947,0.1215,0
0.3121,0.1216,0
0.3003,0.122,0
0.3012,0.1217,0
0.3067,0.1209,0
0.3104,0.1209,0
0.2982,0.1204,0
0.2968,0.1223,0
0.2929,0.1204,0
0.292,0.1215,0
0.3004,0.12,0
0.2849,0.1233,0
0.3064,0.1208,0
0.2689,0.1219,0
0.3157,0.1227,0
0.3164,0.1213,0
0.3103,0.1211,0
0.3166,0.1221,0
0.3166,0.1209,0
0.3152,0.1211,0
0.2484,0.1221,0
0.3115,0.1217,0
0.3122,0.1222,0
0.3132,0.1223,0
0.2956,0.1215,0
0.3069,0.1219,0
0.3018,0.1227,0
0.3211,0.1216,0
0.311,0.1226,0
0.3204,0.1253,0
0.2977,0.1211,0
0.2817,0.1211,0
0.286,0.1192,0
0.2917,0.129,0
0.3077,0.1278,0
0.3043,0.1221,0
0.3111,0.1194,0
0.2843,0.1207,0
0.2698,0.1295,0
0.2859,0.1191,0
0.3124,0.1179,0
0.3074,0.1192,0
0.277,0.1196,0
0.3099,0.1243,0
0.2887,0.1235,0
0.252,0.1255,0
0.2948,0.1237,0
0.3113,0.123,0
0.243,0.1254,0
0.2036,0.124,0
0.312,0.2754,0
0.2942,0.1222,0
0.2733,0.1231,0
0.3007,0.1193,0
0.3234,0.1185,0
0.0787,0.1213,0
0.181,0.1205,0
0.3228,0.1217,0
0.3022,0.1244,0
0.2017,0.1412,0
0.2112,0.1313,0
0.2122,0.1307,0
0.2348,0.1304,0
